exp_id,article_id,time,page_id,user,sentence_id,word,word_understand,sentence_understand,mind_wandering,reading_times,number_of_fixations,fixation_duration,fixation_duration_div_syllable,fixation_duration_div_length,fixation_duration_diff,number_of_fixations_diff,reading_times_diff
1181,22,0,2015,qxy,12,more,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,12,of,1,1,1,1,1,231,231.0,115.5,231,1,1
1181,22,0,2015,qxy,12,us,1,1,1,0,0,0,0.0,0.0,-231,-1,-1
1181,22,0,2015,qxy,12,have,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,12,a,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,12,degree,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,12,it,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,12,makes,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,12,sense,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,12,to,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,12,have,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,12,two,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,It,1,1,1,1,1,519,519.0,259.5,0,0,0
1181,22,0,2016,qxy,0,is,1,1,1,0,0,0,0.0,0.0,-519,-1,-1
1181,22,0,2016,qxy,0,unlikely,1,1,1,1,1,376,125.33333333333333,47.0,376,1,1
1181,22,0,2016,qxy,0,that,1,1,1,1,1,207,207.0,51.75,-169,0,0
1181,22,0,2016,qxy,0,Generation,1,1,1,0,0,0,0.0,0.0,-207,-1,-1
1181,22,0,2016,qxy,0,Z,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,will,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,be,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,done,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,with,1,1,1,1,1,484,484.0,121.0,484,1,1
1181,22,0,2016,qxy,0,education,1,1,1,0,0,0,0.0,0.0,-484,-1,-1
1181,22,0,2016,qxy,0,at,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,18,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,or,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,21;,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,they,1,1,1,1,2,558,558.0,139.5,558,2,1
